ID,CODE,VALID_FROM,VALID_UNTIL,SNAME,LNAME
4447244,80L,1/4/2016,1/5/2016,480,West 80th Limited
4447243,31L,1/4/2016,1/5/2016,431,North Federal Limited
4447225,55L,1/4/2016,1/5/2016,455,Olde Town Arvada Limited
4446986,FF,1/4/2016,1/5/2016,350,Flatiron Flyer
1000554,SHOP,1/4/2016,1/5/2016,496,Shopper''''s Special
4447224,87L,1/4/2016,1/5/2016,87,South Wadsworth Limited
4447226,39L,1/4/2016,1/5/2016,439,North Colorado Limited
4703049,90L,1/1/1970,1/1/2036,390,US36 & Sheridan Limited
34,34,4/24/2016,1/1/2036,434,Bruce Randolph Ave
37,37,1/1/1970,1/1/2036,37,Smith Road Industrial
38,38,4/24/2016,1/1/2036,38,West 38th Avenue
42,42,1/1/1970,1/1/2036,42,Montbello via Albrook/GVR
43,43,4/24/2016,1/1/2036,43,Martin Luther King Blvd
45,45,4/24/2016,1/1/2036,45,Montbello via 51st/GVR
5041189,Q300,1/1/1970,1/14/2018,987,Union Station to Ward
5041190,Q301,1/1/1970,1/14/2018,988,Union Station to Clear Crk/Federal
5041191,Q302,1/1/1970,1/14/2018,989,Clear Crk/Federal to Olde Town
5041192,Q303,1/1/1970,1/14/2018,990,Olde Town to Ward
6,6,4/24/2016,1/1/2036,6,East 6th Avenue
4342329,A,4/24/2016,1/1/2036,111,A-Line
483,483,1/1/1970,1/1/2036,583,Parker Road - Lincoln Ave
1159275,HOP,4/24/2016,8/14/2016,234,Boulder Circulator
1278584,Q31,4/24/2016,1/1/2036,931,I-25/Broadway to Auraria West
1537489,Q35,4/24/2016,1/1/2036,935,Colfax at Auraria Station TO DUS
4543304,Q100,4/24/2016,1/1/2036,982,Union Station to Denver Airport
4543305,Q101,4/24/2016,1/1/2036,983,Union Station to 40th & Colorado
4543306,Q102,4/24/2016,1/1/2036,984,40th & Colorado to Peoria
5041193,Q103,1/1/1970,1/1/2036,985,Peoria to Denver Airport
88,88,4/24/2016,1/1/2036,88,Northglenn/Comm City/Central Park
1278591,Q50,4/24/2016,1/1/2036,950,Southmoor to Peoria
5041194,Q51,1/1/1970,11/12/2016,991,Southmore to Nine Mile
77,77,6/14/2012,1/1/2036,77,Ken Caryl Avenue
104,104,6/14/2012,1/1/2036,104,West 104th Avenue
1000502,US85,10/6/2012,10/27/2012,726,US85 & Bridge
1000511,BNLX,10/6/2012,10/27/2012,725,NOG Loop Extra
1000516,WAGN,10/6/2012,10/27/2012,722,Wagon Road
1000562,FCS,10/6/2012,10/27/2012,720,Federal Center Station
1000580,BMLX,10/6/2012,10/27/2012,724,MOG Loop Extra
1000581,BLDR,10/6/2012,10/27/2012,723,Boulder
